PRACTICE_POSTCODE,Urgent_Count,Total_Count,Pressure_Index_Pct
IG118EN,1393,10544,13.21
N65AX,167,1265,13.2
E20QY,540,4091,13.2
PR252LR,3722,28221,13.19
BR40JZ,2042,15487,13.19
B930QA,1069,8103,13.19
HD22TW,382,2899,13.18
CH11HB,1327,10065,13.18
M124JJ,1352,10265,13.17
LE27QT,1043,7918,13.17
MK451DX,1433,10890,13.16
M224GA,689,5239,13.15
BN35QJ,970,7374,13.15
SE182RU,605,4605,13.14
SN254YZ,3679,28024,13.13
BB17BL,1488,11331,13.13
NR11LG,723,5509,13.12
SW113AG,187,1428,13.1
PR84PL,885,6758,13.1
NE34LE,342,2612,13.09
TQ13YA,4482,34271,13.08
TA117ND,632,4832,13.08
SE167AJ,1141,8724,13.08
SW66BS,509,3893,13.07
L317BN,1122,8586,13.07
