PRACTICE_CODE,PRACTICE_POSTCODE,total_rows,total_cot,total_uda,avg_uda_per_cot,child_count,nonpaying_count,paying_count,band1,band2a,band2b,band2c,band3,urgent_count,free_count,reg11_count
V000528,SW9 7NU,142,13935,40807.0,2.93,43,42,57,26,22,23,21,12,36,0,2
V000529,SE27 0SR,98,10429,25897.8,2.48,33,23,42,19,20,20,9,12,12,4,2
V000530,BN1 6JF,55,1264,1767.6,1.4,17,17,21,12,12,8,0,8,11,4,0
V000531,SW2 1NP,70,5201,25159.2,4.84,21,23,26,12,12,12,7,12,12,0,3
V000532,SE5 8EE,52,581,3913.4,6.74,17,16,19,11,6,12,0,12,11,0,0
V000533,SE27 9BU,76,10594,27171.8,2.56,24,24,28,12,12,12,12,12,12,2,2
V000534,SE21 8JB,41,703,1358.4,1.93,19,18,4,11,9,5,0,8,8,0,0
V000535,SE27 9JF,3,3,5,1.67,0,2,1,2,1,0,0,0,0,0,0
V000537,BN3 8LD,66,5759,11421.2,1.98,20,22,24,12,12,12,5,12,12,0,1
V000538,BN2 3LD,67,4385,12676.8,2.89,20,23,24,12,12,12,4,12,12,1,2
V000539,BN1 5BF,19,887,1263.0,1.42,18,0,1,5,4,2,0,4,4,0,0
V000541,BN1 3BA,114,6406,13243.6,2.07,32,40,42,23,23,21,5,18,23,0,1
V000542,BN7 2ND,72,7229,15152.2,2.1,20,23,29,12,12,12,8,11,12,4,1
V000543,BN1 4EP,41,232,487.6,2.1,10,14,17,2,12,8,1,2,14,2,0
V000545,TN6 2ED,62,1885,2747.0,1.46,16,21,25,12,12,10,3,9,12,3,1
V000546,BN3 4FN,58,1127,1845.4,1.64,21,18,19,12,12,10,0,7,12,5,0
V000547,TN6 1DR,85,7961,14859.2,1.87,26,20,39,17,19,17,5,12,12,2,1
V000551,BN10 8LT,33,386,679.6,1.76,14,18,1,9,8,4,0,4,8,0,0
V000552,BN3 5QJ,72,7374,17139.8,2.32,23,24,25,12,12,12,11,12,12,0,1
V000553,TN5 6DF,67,4253,8810.2,2.07,20,24,23,13,14,11,3,12,14,0,0
V000554,TN6 1DG,58,1660,2328.2,1.4,21,14,23,12,12,9,2,8,10,5,0
V000556,TN21 8JD,71,4603,11526.0,2.5,21,23,27,12,12,12,9,11,12,1,2
V000557,BN1 4GB,63,2386,4926.2,2.06,16,21,26,12,12,12,4,8,12,1,2
V000563,BN7 1EA,18,83,259.2,3.12,0,18,0,3,4,4,0,3,4,0,0
V000564,BN2 1EA,63,3208,6774.2,2.11,19,20,24,12,12,12,0,11,12,2,2
V000570,TN21 0EJ,65,4795,7585.4,1.58,19,19,27,12,12,9,3,12,12,4,1
V000571,BN7 2PF,211,3076,4899.0,1.59,64,64,83,56,55,27,2,25,43,3,0
V000573,TN21 8AE,61,3755,5800.4,1.54,19,20,22,12,12,12,0,11,12,1,1
V000575,BN1 6SG,117,5409,9671.2,1.79,36,38,43,24,23,17,9,18,23,3,0
V000576,BN10 8JR,49,3298,11388.2,3.45,16,20,13,12,12,10,0,7,7,1,0
V000578,BN8 5QE,31,881,1159.6,1.32,17,8,6,10,6,5,0,3,7,0,0
V000579,BN9 9QX,73,9328,21882.0,2.35,21,23,29,12,12,12,10,10,13,4,0
V000580,BN1 4EQ,62,4119,11038.4,2.68,18,21,23,12,12,11,4,10,12,1,0
V000582,BN1 5EG,53,910,1355.0,1.49,20,14,19,12,12,8,1,9,11,0,0
V000583,RH18 5ES,65,4735,7901.4,1.67,19,20,26,12,12,12,4,12,10,3,0
V000584,BN1 3DD,23,88,160.0,1.82,5,8,10,9,5,1,0,4,4,0,0
V000587,HP27 0AE,30,1017,1535.4,1.51,20,10,0,8,7,4,0,7,4,0,0
V000590,BN23 8BR,74,7409,14519.4,1.96,22,22,30,12,12,12,6,12,12,6,2
V000593,BN23 6DG,21,702,1300.0,1.85,21,0,0,4,4,4,0,4,4,1,0
V000595,BN21 4HZ,50,1182,1500.0,1.27,15,16,19,12,12,8,1,5,12,0,0
V000597,BN25 1NT,64,5483,9342.6,1.7,22,20,22,12,12,12,4,12,12,0,0
V000599,BN21 4LL,21,1048,1349.0,1.29,18,2,1,5,4,4,0,3,5,0,0
V000600,BN25 1RU,56,847,1406.2,1.66,19,18,19,12,12,10,0,10,11,1,0
V000601,BN25 1PL,58,1935,4837.2,2.5,15,17,26,12,12,8,4,8,12,2,0
V000602,BN22 9QH,81,8562,19592.4,2.29,23,25,33,13,15,13,9,11,15,4,1
V000605,DA17 5QQ,70,4363,14751.2,3.38,24,22,24,12,12,12,9,12,12,1,0
V000606,BN20 9QX,73,5927,12438.4,2.1,21,23,29,12,12,12,8,12,12,4,1
V000610,BN21 4JA,16,1161,3483,3.0,4,0,12,4,8,4,0,0,0,0,0
V000612,BN21 4LG,38,586,794.6,1.36,16,9,13,12,9,4,1,3,9,0,0
V000613,BN27 1AX,52,1106,1632.6,1.48,18,15,19,12,12,10,1,4,11,1,1
V000614,BN21 2AR,27,397,487,1.23,9,8,10,12,10,2,1,2,0,0,0
V000615,BN27 1DQ,61,7293,15580.4,2.14,20,20,21,12,12,12,0,12,12,1,0
V000617,BN27 1DN,58,4393,14276.8,3.25,19,18,21,12,12,12,0,12,9,1,0
V000618,BN25 1UE,69,4090,9270.6,2.27,24,21,24,12,12,12,7,11,12,1,1
V000621,N12 0BT,61,643,4098.8,6.37,16,24,21,12,12,12,5,9,11,0,0
V000623,BN26 5DH,70,5752,10288.4,1.79,19,20,31,12,12,12,4,11,12,3,4
V000624,BN1 9JG,69,3581,9567.2,2.67,18,23,28,12,12,12,10,8,11,4,0
V000626,BN22 7RZ,76,18280,36095.0,1.97,23,22,31,12,12,12,8,12,12,5,3
V000630,BN2 9NE,87,8969,13803.4,1.54,24,29,34,12,15,12,7,10,24,6,1
V000631,M16 9WR,69,6989,15581.4,2.23,22,21,26,12,12,12,5,12,12,4,0
V000632,SE27 9BW,64,1183,4027.8,3.4,18,23,23,12,12,12,5,10,12,1,0
V000636,SW9 9SU,79,7197,28715.0,3.99,23,24,32,12,12,12,11,12,12,4,4
V000639,SW16 1DB,66,2275,5334.8,2.34,20,23,23,12,12,12,5,11,12,2,0
V000640,SW16 5TD,63,2123,8824.8,4.16,20,21,22,12,12,12,1,12,12,0,2
V000641,SW16 1QB,80,5845,16786.2,2.87,24,24,32,12,12,12,12,12,12,4,4
V000642,SW16 5TF,74,2355,5580.8,2.37,24,24,26,12,12,12,12,12,12,2,0
V000645,SW16 2SZ,78,2985,7144.8,2.39,23,24,31,12,12,12,11,12,12,4,3
V000646,SW16 3PE,79,9309,22626.6,2.43,24,24,31,12,12,12,12,12,12,4,3
V000648,SW16 1BJ,76,6749,21914.0,3.25,24,23,29,12,12,12,11,12,12,3,2
V000650,SE8 5DJ,68,3596,7610.0,2.12,20,20,28,12,12,12,5,11,12,4,0
V000651,SE16 4RT,75,3409,11256.6,3.3,23,24,28,12,12,12,12,11,12,4,0
V000653,SE16 6HZ,74,3668,10939.8,2.98,21,24,29,12,12,12,9,12,12,3,2
V000654,SE16 4RT,73,6293,18092.8,2.88,20,26,27,12,12,12,7,12,12,3,1
V000655,RH19 3AW,59,2465,4350.2,1.76,20,18,21,12,12,10,1,12,10,2,0
V000656,RH15 9DY,44,1511,1955.0,1.29,18,11,15,12,12,6,3,2,9,0,0
V000661,SE1 8XH,33,471,1070.2,2.27,9,12,12,11,7,6,0,5,4,0,0
V000662,SE17 2TE,78,10691,30318.4,2.84,24,24,30,12,12,12,12,12,12,4,2
V000663,SE1 5TY,36,844,4059.2,4.81,14,21,1,8,9,8,2,5,4,0,0
V000668,RH15 9DR,68,7708,15742.0,2.04,21,22,25,12,14,12,1,12,15,2,0
